cell_id,ndvi_mean
-28.5000_-64.5000,0.5250819460726847
-28.5000_-64.7500,0.5310221570926144
-28.5000_-65.0000,0.5329193434935522
-28.5000_-65.2500,0.6400654161781947
-28.5000_-65.5000,0.5941528722157093
-28.5000_-65.7500,0.49627151230949595
-28.5000_-66.0000,0.4609025791324736
-28.5000_-66.2500,0.4080383352872216
-28.5000_-66.5000,0.14885252051582648
-28.5000_-66.7500,0.15036014067995312
-28.5000_-67.0000,0.28594056271981244
-28.5000_-67.2500,0.2706501758499414
-28.5000_-67.5000,0.14978804220398592
-28.5000_-67.7500,0.3222046893317702
-28.5000_-68.0000,0.18765990621336462
-28.7500_-56.2500,0.6005531066822978
-28.7500_-56.5000,0.6422030480656507
-28.7500_-56.7500,0.633971981242673
-28.7500_-57.0000,0.6519916764361079
-28.7500_-57.2500,0.5911957796014068
-28.7500_-57.5000,0.60353856975381
-28.7500_-57.7500,0.6627762016412662
-28.7500_-58.0000,0.6698819460726847
-28.7500_-58.2500,0.6079369284876905
-28.7500_-58.5000,0.6216298944900353
-28.7500_-58.7500,0.6681934349355217
-28.7500_-59.0000,0.6014579132473622
-28.7500_-59.2500,0.6227246189917938
-28.7500_-59.5000,0.5479601406799531
-28.7500_-59.7500,0.5999709261430247
-28.7500_-60.0000,0.6158332942555685
-28.7500_-60.2500,0.592684876905041
-28.7500_-60.5000,0.5122772567409144
-28.7500_-60.7500,0.48252415005861665
-28.7500_-61.0000,0.3818726846424385
-28.7500_-61.2500,0.4984652989449003
-28.7500_-61.5000,0.49873247362250883
-28.7500_-61.7500,0.41791781946072687
-28.7500_-62.0000,0.46887373974208674
-28.7500_-62.2500,0.4487239155920282
-28.7500_-62.5000,0.4545140679953107
-28.7500_-62.7500,0.5446905041031653
-28.7500_-63.0000,0.6130227432590856
-28.7500_-63.2500,0.5521057444314186
-28.7500_-63.5000,0.4417203985932005
-28.7500_-63.7500,0.5208658851113717
-28.7500_-64.0000,0.37681195779601406
-28.7500_-64.2500,0.2913301289566237
-28.7500_-64.5000,0.5696236811254396
-28.7500_-64.7500,0.5099683470105509
-28.7500_-65.0000,0.530347245017585
-28.7500_-65.2500,0.576031184056272
-28.7500_-65.5000,0.6063154747948417
-28.7500_-65.7500,0.5897310668229778
-28.7500_-66.0000,0.4835934349355217
-28.7500_-66.2500,0.6563542790152405
-28.7500_-66.5000,0.1214198124267292
-28.7500_-66.7500,0.13094396248534584
-28.7500_-67.0000,0.43338241500586167
-28.7500_-67.2500,0.27765216881594373
-28.7500_-67.5000,0.22164314185228604
-28.7500_-67.7500,0.18760304806565065
-28.7500_-68.0000,0.27003634232121926
-29.0000_-56.5000,0.619062368112544
-29.0000_-56.7500,0.6200248534583822
-29.0000_-57.0000,0.6757732708089098
-29.0000_-57.2500,0.6587699882766705
-29.0000_-57.5000,0.5806845252051583
-29.0000_-57.7500,0.6023502930832356
-29.0000_-58.0000,0.6475764361078546
-29.0000_-58.2500,0.6747083235638922
-29.0000_-58.5000,0.6944308323563892
-29.0000_-58.7500,0.6069514654161782
-29.0000_-59.0000,0.6142368112543963
-29.0000_-59.2500,0.6899405627198125
-29.0000_-59.5000,0.5741851113716295
-29.0000_-59.7500,0.5733395076201642
-29.0000_-60.0000,0.6268657678780774
-29.0000_-60.2500,0.6483327080890974
-29.0000_-60.5000,0.5104968347010551
-29.0000_-60.7500,0.49740597889800703
-29.0000_-61.0000,0.46472672919109026
-29.0000_-61.2500,0.5642767878077374
-29.0000_-61.5000,0.5837642438452522
-29.0000_-61.7500,0.44250996483001176
-29.0000_-62.0000,0.42099988276670575
-29.0000_-62.2500,0.4005716295427902
-29.0000_-62.5000,0.48203516998827667
-29.0000_-62.7500,0.3837572098475967
-29.0000_-63.0000,0.5288041031652989
-29.0000_-63.2500,0.5142534583821806
-29.0000_-63.5000,0.49901535756154747
-29.0000_-63.7500,0.5278473622508792
-29.0000_-64.0000,0.4475314185228605
-29.0000_-64.2500,0.12940785463071514
-29.0000_-64.5000,0.19362473622508794
-29.0000_-64.7500,0.5330395076201642
-29.0000_-65.0000,0.5222874560375147
-29.0000_-65.2500,0.44203012895662364
-29.0000_-65.5000,0.6366753810082064
-29.0000_-65.7500,0.47835967174677607
-29.0000_-66.0000,0.3568459554513482
-29.0000_-66.2500,0.45436729191090275
-29.0000_-66.5000,0.4886262602579133
-29.0000_-66.7500,0.39883657678780776
-29.0000_-67.0000,0.34463845252051584
-29.0000_-67.2500,0.27908171160609613
-29.0000_-67.5000,0.19007139507620163
-29.0000_-67.7500,0.0686042203985932
-29.0000_-68.0000,0.16969308323563892
-29.2500_-56.7500,0.6156930832356389
